Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
DC,KXIP,DC,8 wickets,Delhi,"Apr 15, 2016",T20
SRH,KKR,KKR,8 wickets,Hyderabad (Deccan),"Apr 16, 2016",T20
RCB,DC,DC,7 wickets,Bengaluru,"Apr 17, 2016",T20
SRH,MI,SRH,7 wickets,Hyderabad (Deccan),"Apr 18, 2016",T20
KXIP,KKR,KKR,6 wickets,Mohali,"Apr 19, 2016",T20
MI,RCB,MI,6 wickets,Mumbai,"Apr 20, 2016",T20
DC,MI,DC,10 runs,Delhi,"Apr 23, 2016",T20
SRH,KXIP,SRH,5 wickets,Hyderabad (Deccan),"Apr 23, 2016",T20
KXIP,MI,MI,25 runs,Mohali,"Apr 25, 2016",T20
MI,KKR,MI,6 wickets,Mumbai,"Apr 28, 2016",T20
DC,KKR,DC,27 runs,Delhi,"Apr 30, 2016",T20
SRH,RCB,SRH,15 runs,Hyderabad (Deccan),"Apr 30, 2016",T20
RCB,KKR,KKR,5 wickets,Bengaluru,"May 2, 2016",T20
KKR,KXIP,KKR,7 runs,Kolkata,"May 4, 2016",T20
KXIP,DC,KXIP,9 runs,Mohali,"May 7, 2016",T20
MI,SRH,SRH,85 runs,Visakhapatnam,"May 8, 2016",T20
KXIP,RCB,RCB,1 run,Mohali,"May 9, 2016",T20
RCB,MI,MI,6 wickets,Bengaluru,"May 11, 2016",T20
SRH,DC,DC,7 wickets,Hyderabad (Deccan),"May 12, 2016",T20
MI,KXIP,KXIP,7 wickets,Visakhapatnam,"May 13, 2016",T20
MI,DC,MI,80 runs,Visakhapatnam,"May 15, 2016",T20
KXIP,SRH,SRH,7 wickets,Mohali,"May 15, 2016",T20
KKR,RCB,RCB,9 wickets,Kolkata,"May 16, 2016",T20
RCB,KXIP,RCB,82 runs,Bengaluru,"May 18, 2016",T20
DC,SRH,DC,6 wickets,Raipur,"May 20, 2016",T20
KKR,SRH,KKR,22 runs,Kolkata,"May 22, 2016",T20
DC,RCB,RCB,6 wickets,Raipur,"May 22, 2016",T20
SRH,KKR,SRH,22 runs,Delhi,"May 25, 2016",T20
RCB,SRH,SRH,8 runs,Bengaluru,"May 29, 2016",T20
SRH,RCB,SRH,35 runs,Hyderabad (Deccan),"Apr 5, 2017",T20
RCB,DC,RCB,15 runs,Bengaluru,"Apr 8, 2017",T20
MI,KKR,MI,4 wickets,Mumbai,"Apr 9, 2017",T20
KXIP,RCB,KXIP,8 wickets,Indore,"Apr 10, 2017",T20
MI,SRH,MI,4 wickets,Mumbai,"Apr 12, 2017",T20
KKR,KXIP,KKR,8 wickets,Kolkata,"Apr 13, 2017",T20
RCB,MI,MI,4 wickets,Bengaluru,"Apr 14, 2017",T20
DC,KXIP,DC,51 runs,Delhi,"Apr 15, 2017",T20
KKR,SRH,KKR,17 runs,Kolkata,"Apr 15, 2017",T20
DC,KKR,KKR,4 wickets,Delhi,"Apr 17, 2017",T20
SRH,KXIP,SRH,5 runs,Hyderabad (Deccan),"Apr 17, 2017",T20
SRH,DC,SRH,15 runs,Hyderabad (Deccan),"Apr 19, 2017",T20
KXIP,MI,MI,8 wickets,Indore,"Apr 20, 2017",T20
MI,DC,MI,14 runs,Mumbai,"Apr 22, 2017",T20
KKR,RCB,KKR,82 runs,Kolkata,"Apr 23, 2017",T20
KKR,DC,KKR,7 wickets,Kolkata,"Apr 28, 2017",T20
KXIP,SRH,SRH,26 runs,Mohali,"Apr 28, 2017",T20
KXIP,DC,KXIP,10 wickets,Mohali,"Apr 30, 2017",T20
SRH,KKR,SRH,48 runs,Hyderabad (Deccan),"Apr 30, 2017",T20
MI,RCB,MI,5 wickets,Mumbai,"May 1, 2017",T20
DC,SRH,DC,6 wickets,Delhi,"May 2, 2017",T20
RCB,KXIP,KXIP,19 runs,Bengaluru,"May 5, 2017",T20
DC,MI,MI,146 runs,Delhi,"May 6, 2017",T20
RCB,KKR,KKR,6 wickets,Bengaluru,"May 7, 2017",T20
SRH,MI,SRH,7 wickets,Hyderabad (Deccan),"May 8, 2017",T20
KXIP,KKR,KXIP,14 runs,Mohali,"May 9, 2017",T20
MI,KXIP,KXIP,7 runs,Mumbai,"May 11, 2017",T20
KKR,MI,MI,9 runs,Kolkata,"May 13, 2017",T20
DC,RCB,RCB,10 runs,Delhi,"May 14, 2017",T20
SRH,KKR,KKR,7 wickets,Bengaluru,"May 17, 2017",T20
MI,KKR,MI,6 wickets,Bengaluru,"May 19, 2017",T20
MI,CSK,CSK,1 wicket,Mumbai,"Apr 7, 2018",T20
KKR,RCB,KKR,4 wickets,Kolkata,"Apr 8, 2018",T20
KXIP,DC,KXIP,6 wickets,Mohali,"Apr 8, 2018",T20
SRH,RR,SRH,9 wickets,Hyderabad (Deccan),"Apr 9, 2018",T20
CSK,KKR,CSK,5 wickets,Chennai,"Apr 10, 2018",T20
RR,DC,RR,10 runs,Jaipur,"Apr 11, 2018",T20
SRH,MI,SRH,1 wicket,Hyderabad (Deccan),"Apr 12, 2018",T20
RCB,KXIP,RCB,4 wickets,Bengaluru,"Apr 13, 2018",T20
MI,DC,DC,7 wickets,Mumbai,"Apr 14, 2018",T20
KKR,SRH,SRH,5 wickets,Kolkata,"Apr 14, 2018",T20
KXIP,CSK,KXIP,4 runs,Mohali,"Apr 15, 2018",T20
RCB,RR,RR,19 runs,Bengaluru,"Apr 15, 2018",T20
KKR,DC,KKR,71 runs,Kolkata,"Apr 16, 2018",T20
MI,RCB,MI,46 runs,Mumbai,"Apr 17, 2018",T20
RR,KKR,KKR,7 wickets,Jaipur,"Apr 18, 2018",T20
KXIP,SRH,KXIP,15 runs,Mohali,"Apr 19, 2018",T20
CSK,RR,CSK,64 runs,Pune,"Apr 20, 2018",T20
KKR,KXIP,KXIP,9 wickets,Kolkata,"Apr 21, 2018",T20
RCB,DC,RCB,6 wickets,Bengaluru,"Apr 21, 2018",T20
SRH,CSK,CSK,4 runs,Hyderabad (Deccan),"Apr 22, 2018",T20
RR,MI,RR,3 wickets,Jaipur,"Apr 22, 2018",T20
DC,KXIP,KXIP,4 runs,Delhi,"Apr 23, 2018",T20
MI,SRH,SRH,31 runs,Mumbai,"Apr 24, 2018",T20
RCB,CSK,CSK,5 wickets,Bengaluru,"Apr 25, 2018",T20
SRH,KXIP,SRH,13 runs,Hyderabad (Deccan),"Apr 26, 2018",T20
DC,KKR,DC,55 runs,Delhi,"Apr 27, 2018",T20
CSK,MI,MI,8 wickets,Pune,"Apr 28, 2018",T20
RCB,KKR,KKR,6 wickets,Bengaluru,"Apr 29, 2018",T20
RR,SRH,SRH,11 runs,Jaipur,"Apr 29, 2018",T20
CSK,DC,CSK,13 runs,Pune,"Apr 30, 2018",T20
RCB,MI,RCB,14 runs,Bengaluru,"May 1, 2018",T20
DC,RR,DC,4 runs,Delhi,"May 2, 2018",T20
KKR,CSK,KKR,6 wickets,Kolkata,"May 3, 2018",T20
KXIP,MI,MI,6 wickets,Indore,"May 4, 2018",T20
CSK,RCB,CSK,6 wickets,Pune,"May 5, 2018",T20
SRH,DC,SRH,7 wickets,Hyderabad (Deccan),"May 5, 2018",T20
KXIP,RR,KXIP,6 wickets,Indore,"May 6, 2018",T20
MI,KKR,MI,13 runs,Mumbai,"May 6, 2018",T20
SRH,RCB,SRH,5 runs,Hyderabad (Deccan),"May 7, 2018",T20
RR,KXIP,RR,15 runs,Jaipur,"May 8, 2018",T20
KKR,MI,MI,102 runs,Kolkata,"May 9, 2018",T20
DC,SRH,SRH,9 wickets,Delhi,"May 10, 2018",T20
RR,CSK,RR,4 wickets,Jaipur,"May 11, 2018",T20
KXIP,KKR,KKR,31 runs,Indore,"May 12, 2018",T20
DC,RCB,RCB,5 wickets,Delhi,"May 12, 2018",T20
CSK,SRH,CSK,8 wickets,Pune,"May 13, 2018",T20
MI,RR,RR,7 wickets,Mumbai,"May 13, 2018",T20
KXIP,RCB,RCB,10 wickets,Indore,"May 14, 2018",T20
KKR,RR,KKR,6 wickets,Kolkata,"May 15, 2018",T20
MI,KXIP,MI,3 runs,Mumbai,"May 16, 2018",T20
RCB,SRH,RCB,14 runs,Bengaluru,"May 17, 2018",T20
DC,CSK,DC,34 runs,Delhi,"May 18, 2018",T20
SRH,KKR,KKR,5 wickets,Hyderabad (Deccan),"May 19, 2018",T20
RR,RCB,RR,30 runs,Jaipur,"May 19, 2018",T20
CSK,KXIP,CSK,5 wickets,Pune,"May 20, 2018",T20
DC,MI,DC,11 runs,Delhi,"May 20, 2018",T20
SRH,CSK,CSK,2 wickets,Mumbai,"May 22, 2018",T20
KKR,RR,KKR,25 runs,Kolkata,"May 23, 2018",T20
KKR,SRH,SRH,14 runs,Kolkata,"May 25, 2018",T20
CSK,SRH,CSK,8 wickets,Mumbai,"May 27, 2018",T20
CSK,RCB,CSK,7 wickets,Chennai,"Mar 23, 2019",T20
MI,DC,DC,37 runs,Mumbai,"Mar 24, 2019",T20
KKR,SRH,KKR,6 wickets,Kolkata,"Mar 24, 2019",T20
RR,KXIP,KXIP,14 runs,Jaipur,"Mar 25, 2019",T20
DC,CSK,CSK,6 wickets,Delhi,"Mar 26, 2019",T20
KKR,KXIP,KKR,28 runs,Kolkata,"Mar 27, 2019",T20
RCB,MI,MI,6 runs,Bengaluru,"Mar 28, 2019",T20
SRH,RR,SRH,5 wickets,Hyderabad (Deccan),"Mar 29, 2019",T20
KXIP,MI,KXIP,8 wickets,Mohali,"Mar 30, 2019",T20
CSK,RR,CSK,8 runs,Chennai,"Mar 31, 2019",T20
SRH,RCB,SRH,118 runs,Hyderabad (Deccan),"Mar 31, 2019",T20
KXIP,DC,KXIP,14 runs,Mohali,"Apr 1, 2019",T20
RR,RCB,RR,7 wickets,Jaipur,"Apr 2, 2019",T20
MI,CSK,MI,37 runs,Mumbai,"Apr 3, 2019",T20
DC,SRH,SRH,5 wickets,Delhi,"Apr 4, 2019",T20
RCB,KKR,KKR,5 wickets,Bengaluru,"Apr 5, 2019",T20
CSK,KXIP,CSK,22 runs,Chennai,"Apr 6, 2019",T20
SRH,MI,MI,40 runs,Hyderabad (Deccan),"Apr 6, 2019",T20
RCB,DC,DC,4 wickets,Bengaluru,"Apr 7, 2019",T20
RR,KKR,KKR,8 wickets,Jaipur,"Apr 7, 2019",T20
KXIP,SRH,KXIP,6 wickets,Mohali,"Apr 8, 2019",T20
CSK,KKR,CSK,7 wickets,Chennai,"Apr 9, 2019",T20
MI,KXIP,MI,3 wickets,Mumbai,"Apr 10, 2019",T20
RR,CSK,CSK,4 wickets,Jaipur,"Apr 11, 2019",T20
KKR,DC,DC,7 wickets,Kolkata,"Apr 12, 2019",T20
KXIP,RCB,RCB,8 wickets,Mohali,"Apr 13, 2019",T20
MI,RR,RR,4 wickets,Mumbai,"Apr 13, 2019",T20
KKR,CSK,CSK,5 wickets,Kolkata,"Apr 14, 2019",T20
SRH,DC,DC,39 runs,Hyderabad (Deccan),"Apr 14, 2019",T20
MI,RCB,MI,5 wickets,Mumbai,"Apr 15, 2019",T20
KXIP,RR,KXIP,12 runs,Mohali,"Apr 16, 2019",T20
SRH,CSK,SRH,6 wickets,Hyderabad (Deccan),"Apr 17, 2019",T20
DC,MI,MI,40 runs,Delhi,"Apr 18, 2019",T20
KKR,RCB,RCB,10 runs,Kolkata,"Apr 19, 2019",T20
DC,KXIP,DC,5 wickets,Delhi,"Apr 20, 2019",T20
RR,MI,RR,5 wickets,Jaipur,"Apr 20, 2019",T20
RCB,CSK,RCB,1 run,Bengaluru,"Apr 21, 2019",T20
SRH,KKR,SRH,9 wickets,Hyderabad (Deccan),"Apr 21, 2019",T20
RR,DC,DC,6 wickets,Jaipur,"Apr 22, 2019",T20
CSK,SRH,CSK,6 wickets,Chennai,"Apr 23, 2019",T20
RCB,KXIP,RCB,17 runs,Bengaluru,"Apr 24, 2019",T20
KKR,RR,RR,3 wickets,Kolkata,"Apr 25, 2019",T20
CSK,MI,MI,46 runs,Chennai,"Apr 26, 2019",T20
RR,SRH,RR,7 wickets,Jaipur,"Apr 27, 2019",T20
DC,RCB,DC,16 runs,Delhi,"Apr 28, 2019",T20
KKR,MI,KKR,34 runs,Kolkata,"Apr 28, 2019",T20
SRH,KXIP,SRH,45 runs,Hyderabad (Deccan),"Apr 29, 2019",T20
RCB,RR,no result,,Bengaluru,"Apr 30, 2019",T20
CSK,DC,CSK,80 runs,Chennai,"May 1, 2019",T20
KXIP,KKR,KKR,7 wickets,Mohali,"May 3, 2019",T20
DC,RR,DC,5 wickets,Delhi,"May 4, 2019",T20
RCB,SRH,RCB,4 wickets,Bengaluru,"May 4, 2019",T20
KXIP,CSK,KXIP,6 wickets,Mohali,"May 5, 2019",T20
MI,KKR,MI,9 wickets,Mumbai,"May 5, 2019",T20
MI,CSK,MI,6 wickets,Chennai,"May 7, 2019",T20
DC,SRH,DC,2 wickets,Visakhapatnam,"May 8, 2019",T20
CSK,DC,CSK,6 wickets,Visakhapatnam,"May 10, 2019",T20
MI,CSK,MI,1 run,Hyderabad (Deccan),"May 12, 2019",T20
